code,region,name,exchange,type
ASX,US,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares),NYSE,stock
ATEN,US,A10 Networks Inc. Common Stock,NYSE,stock
ATH^A,US,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share Series A,NYSE,stock
ATH^B,US,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 5.625% Fixed Rate Perpetual Non- Cumulative Preference Share Series B par value $1.00 per share,NYSE,stock
ATH^D,US,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 4.875% Fixed-Rate Perpetual Non-Cumulative Preference Share Series D,NYSE,stock
ATH^E,US,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 7.750% Fixed-Rate Reset Perpetual Non-Cumulative Preference Share Series E,NYSE,stock
ATHM,US,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.,NYSE,stock
ATHS,US,Athene Holding Ltd. 7.250% Fixed-Rate Reset Junior Subordinated Debentures due 2064,NYSE,stock
ATI,US,ATI Inc. Common Stock,NYSE,stock
ATKR,US,Atkore Inc. Common Stock,NYSE,stock
ATMU,US,Atmus Filtration Technologies Inc. Common Stock,NYSE,stock
ATO,US,Atmos Energy Corporation Common Stock,NYSE,stock
ATR,US,AptarGroup Inc. Common Stock,NYSE,stock
ATS,US,ATS Corporation Common Shares,NYSE,stock
AU,US,AngloGold Ashanti PLC Ordinary Shares,NYSE,stock
AUB,US,Atlantic Union Bankshares Corporation Common Stock,NYSE,stock
AUB^A,US,Atlantic Union Bankshares Corporation Depositary Shares each representing a 1/400th ownership interest in a share of 6.875% Perpetual Non-Cumulative Preferred Stock Series A,NYSE,stock
AUNA,US,Auna SA Class A Ordinary Shares,NYSE,stock
AVA,US,Avista Corporation Common Stock,NYSE,stock
AVAL,US,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),NYSE,stock
AVB,US,AvalonBay Communities Inc. Common Stock,NYSE,stock
AVBC,US,Avidia Bancorp Inc. Common Stock,NYSE,stock
AVD,US,American Vanguard Corporation Common Stock ($0.10 Par Value),NYSE,stock
AVK,US,Advent Convertible and Income Fund,NYSE,stock
AVNS,US,Avanos Medical Inc. Common Stock,NYSE,stock
AVNT,US,Avient Corporation Common Stock,NYSE,stock
