code,region,name,exchange,type
00351,HK,ASIA ENERGY LOG,HKEX,stock
00352,HK,FORTUNE SUN,HKEX,stock
00353,HK,ENERGY INTINV,HKEX,stock
00354,HK,CHINASOFT INT'L,HKEX,stock
00355,HK,CENTURY C INT'L,HKEX,stock
00357,HK,MEILAN AIRPORT,HKEX,stock
00358,HK,JIANGXI COPPER,HKEX,stock
00360,HK,NEW FOCUS AUTO,HKEX,stock
00361,HK,HANFORT DEV H,HKEX,stock
00362,HK,C ZENITH CHEM,HKEX,stock
00363,HK,SHANGHAI IND H,HKEX,stock
00365,HK,SINO ICT,HKEX,stock
00366,HK,LUKS GROUP (VN),HKEX,stock
00367,HK,CHUANG'S INT'L,HKEX,stock
00368,HK,SUPERLAND GROUP,HKEX,stock
00369,HK,WING TAI PPT,HKEX,stock
00370,HK,HK ROBOTICS,HKEX,stock
00371,HK,BJ ENT WATER,HKEX,stock
00372,HK,PT INTL DEV,HKEX,stock
00373,HK,ALLIED GROUP,HKEX,stock
00374,HK,FOUR SEAS MER,HKEX,stock
00375,HK,YGM TRADING,HKEX,stock
00376,HK,YUNFENG FIN,HKEX,stock
00377,HK,CHINA HUAJUN GP,HKEX,stock
00379,HK,EG LEASING,HKEX,stock
00380,HK,CHINA PIPE,HKEX,stock
00381,HK,AOM INT'L,HKEX,stock
00382,HK,EDVANTAGE GROUP,HKEX,stock
00383,HK,TIANAN MEDICARE,HKEX,stock
00384,HK,CHINA GAS HOLD,HKEX,stock
00385,HK,CHINNEY ALLI,HKEX,stock
00386,HK,SINOPEC CORP,HKEX,stock
00387,HK,LEEPORT(HOLD),HKEX,stock
00388,HK,HKEX,HKEX,stock
00389,HK,TONTINE WINES,HKEX,stock
00390,HK,CHINA RAILWAY,HKEX,stock
00391,HK,MEI AH ENTER,HKEX,stock
00392,HK,BEIJING ENT,HKEX,stock
00393,HK,GLORIOUS SUN,HKEX,stock
00396,HK,HING LEE (HK),HKEX,stock
00397,HK,MINERVA GROUP,HKEX,stock
00398,HK,ORIENTAL WATCH,HKEX,stock
00399,HK,STARCOIN GROUP,HKEX,stock
00400,HK,INGDAN,HKEX,stock
00401,HK,WANJIA GROUP,HKEX,stock
00403,HK,STARLITE HOLD,HKEX,stock
00406,HK,YAU LEE HOLD,HKEX,stock
00408,HK,YIP'S CHEMICAL,HKEX,stock
00410,HK,SOHO CHINA,HKEX,stock
00411,HK,LAM SOON (HK),HKEX,stock
00412,HK,SDHG,HKEX,stock
00413,HK,SC HOLDINGS,HKEX,stock
00417,HK,TSE SUI LUEN,HKEX,stock
00418,HK,FOUNDER HOLD,HKEX,stock
00419,HK,HONY MEDIA,HKEX,stock
00420,HK,FOUNTAIN SET,HKEX,stock
00422,HK,VMEP HOLDINGS,HKEX,stock
00423,HK,HKET HOLDINGS,HKEX,stock
00425,HK,MINTH GROUP,HKEX,stock
00426,HK,ONE MEDIA GROUP,HKEX,stock
00430,HK,ORIENTAL EXPL,HKEX,stock
00431,HK,G CHINA FIN,HKEX,stock
00432,HK,PCPD,HKEX,stock
00433,HK,NORTH MINING,HKEX,stock
00434,HK,BOYAA,HKEX,stock
00436,HK,NU ENVIRO,HKEX,stock
00438,HK,IRICO NEWENERGY,HKEX,stock
00439,HK,GENESIS SCALE,HKEX,stock
00440,HK,DAH SING,HKEX,stock
00442,HK,DOMAINE POWER,HKEX,stock
00444,HK,SINCEREWATCH HK,HKEX,stock
00450,HK,HUNG HING PRINT,HKEX,stock
00451,HK,GCL NEWENERGY,HKEX,stock
00455,HK,TIANDA PHARMA,HKEX,stock
00456,HK,NEW CITY DEV,HKEX,stock
